who,ID,day.night,date,site,transect,species,meter,stage,clutches,eggs,height,locn,position on leaf,dist to margin,leaf area,photos,other EM in 5m,dist to nearest othr EM,plant family,plant species,leaf surf. type,water depth,water velocity,strm subst,parent,parent position,health at first obs,leaf damage,notes
MET,P1HYAVAL10,D,8-June-17,P1,RT1,HYAVAL,33,2,2,uk,NA,over water,under,NA,718.776,668,4,NA,Urticaceae,Myriocarpa longipes,hairy,NA,NA,sand,male guarding,not touching,unhealthy,NA,"hyaval 9, 10, same male"
XOR,P1HYAVAL24,N,42915,P1,RT1,HYAVAL,31,1,1,unk,300,over water,under,17.34,439.823,3423-3425/1413-1414,0,NA,Urticaceae,Myriocarpa longipes,hairy,8,medium,sand,male guarding,on them,NA,no,NA
XOR,P1HYAVAL25,N,42915,P1,RT1,HYAVAL,33,1,2,40,225,over water,under,21.87,374.107,3425-3426/1415-1416,4,NA,Urticaceae,Myriocarpa longipes,hairy,12,medium,sand,male and female in amplexus,amplexus on other side of leaf,NA,no,"hyaval 25, 26 same male. Spider on leaf"
XOR,P1HYAVAL26,N,42915,P1,RT1,HYAVAL,33,4,2,12,225,over water,under,na,374.107,3425-3426/1415-1416,4,NA,Urticaceae,Myriocarpa longipes,hairy,12,medium,sand,male and female in amplexus,amplexus on other side of leaf,NA,no,"hyaval 25, 26 same male. Spider on leaf"
XOR,P1HYAVAL27,N,42915,P1,RT1,HYAVAL,33,4,2,unk,250,over water,under,na,494.898,3427-3428/1417-1418,4,NA,Urticaceae,Myriocarpa longipes,hairy,NA,NA,NA,NA,NA,NA,NA,NA
XOR,P1HYAVAL28,N,42915,P1,RT1,HYAVAL,33,unk,2,1,250,over water,under,na,494.898,3427-3428/1417-1418,4,NA,Urticaceae,Myriocarpa longipes,hairy,10,medium,sand,adults nearby,"same plant, different leaf",11 fungal,no,"hyaval 27, 28 same male"
MET,P1TERSPI2,N,11-June-17,P1,RT1,TERSPI,6,3,1,18,120,over water,under,na,213.091,"676-677, 678",2,0.5,Siparunaceae,Siparuna pauciflora,hairy,NA,NA,NA,no,NA,healthy,NA,NA
MET,P1TERSPI3,N,11-June-17,P1,RT1,TERSPI,6,1,1,19,100,over water,under,0,51.944,681-682,2,0.5,Araceae,NA,glabrous,14,NA,sand,no,NA,healthy,NA,NA
MET,P1TERSPI4,N,11-June-17,P1,RT2,TERSPI,44,1,1,36,320,over water,under,0,NA,687-689,0,9,Rubiaceae,NA,glabrous,17,NA,mud,no,NA,healthy,NA,lots of wasp nests in area
MET,P1ESPPRO4,N,11-June-17,P1,RT2,ESPPRO,34,1,1,uk,270,over water,top,0,61.211,690,0,10,Salicaceae,Pleuranthodendron linderii,hairy,15,NA,sand,no,NA,healthy,NA,NA
MET,2234,N,29-July-15,P1,RT2,HYAVAL,NA,NA,1,NA,170,over water,under,NA,NA,67-69,NA,NA,NA,NA,NA,NA,NA,NA,male guarding,NA,NA,NA,NA
MET,5613,N,42674,P1,RT2,HYAVAL,NA,NA,1,NA,200,over water,under,NA,NA,646-647,NA,NA,Heleconiaceae,NA,glabrous,NA,NA,NA,male guarding,not touching,NA,damaged leaf,NA
MET,P1TERSPI5,N,11-June-17,P1,RT3,TERSPI,30,2,1,21,135,over water,under,3,129.413,700-702,1,1.5,Burseraceae,Protium panamense,glabrous,NA,NA,mud,no,NA,healthy,NA,NA
MET,P1TERSPI6,N,11-June-17,P1,RT3,TERSPI,29,3/4,1,12,130,over bank,under,na,1271.732,703-704,1,1,Araceae,Diffenbachia nitidipetiolata,glabrous,NA,NA,mud,no,NA,healthy,NA,NA
MET,P1TERSPI7,N,11-June-17,P1,RT3,TERSPI,5,"1, 2",1,19,135,over bank,under,0,3243.751,705-706,1,1.5,Araceae,Diffenbachia nitidipetiolata,glabrous,NA,NA,mud,no,NA,NA,damaged leaf,NA
MET,P1TERSPI8,N,11-June-17,P1,RT3,TERSPI,4,4,1,16,260,over bank,under,na,1400.697,707-710,1,1.5,Araceae,Diffenbachia nitidipetiolata,glabrous,NA,NA,mud,no,NA,healthy,NA,NA
MET,PIHYAVAL18,D,42901,P1,RT3,HYAVAL,50,1,2,42,135,over water,under,42,NA,490,3,<1,Araceae,Anthurium upalaense,glabrous,NA,NA,mud,yes,not touching,healthy,NA,"hyaval 16, 18 same male"
XOR,P16ESPPRO5,N,12-June-17,P16,RT1,ESPPRO,5,4,1,6,83,over water,moss,na,NA,NA,0,na,Moss,NA,other,NA,NA,mud,?,nearby,healthy,NA,6 tadpoles left
XOR,P16ESPPRO6,N,12-June-17,P16,RT2,ESPPRO,26,4,1,uk,300,over water,top,na,NA,NA,1,0.4,Piperaceae,Piper decurrens,glabrous,NA,NA,sand,no,NA,possible predation,NA,possible predation (had a spider on it)
XOR,P16ESPPRO7,N,12-June-17,P16,RT2,ESPPRO,26,2,1,uk,310,over water,top,0,41.091,726-727,1,0.4,Piperaceae,Piper decurrens,glabrous,NA,NA,sand,no,NA,healthy,NA,NA
XOR,P16TERPI2,N,12-June-17,P16,RT3,TERSPI,7,4,1,12,70,over bank,under,na,NA,NA,0,NA,Pteridophyta,NA,spores,NA,NA,sand,?,"nearby 3 individuals, 2 in amplexus",healthy,NA,NA
XOR,P16TERPI3,N,12-June-17,P16,RT3,TERSPI,27,1,1,22,210,over water,under,0,105.118,724,1,3,Araceae,NA,glabrous,10,NA,sand,no,NA,healthy,NA,males calling nearby
XOR,P16TERPI4,N,12-June-17,P16,RT3,TERSPI,30,1,1,21,155,over water,under,0,43.278,719-723,1,3,Piperaceae,Piper decurrens,NA,25,NA,sand,no,NA,healthy,NA,NA
BG,TIRESPPRO3,N,42903,TIR,RT1,ESPPRO,18,4,1,17,190,over water,moss,na,NA,755,0,0,Moss,(on plant Melastomataceae:Henriettella tuberculosa),other,10,NA,sand,no,NA,healthy,NA,NA
BG,TIRESPPRO1,N,42903,TIR,RT2,ESPPRO,23,4,1,2,185,over water,top,na,29.183,729-734,0,3,NA,NA,NA,NA,slow,mud,no,NA,1healthy/1unhealhty,Damaged leaf,2 old egg masses near
BG,TIRTERSPI1,N,42903,TIR,RT2,TERSPI,26,"3, 4",1,25,122,over water,under,na,1103.288,735-736,0,3,Araceae,Anthurium ochanthum,glabrous,15,medium,rock,no,NA,healthy,damaged leaf,holey leaf
BG,TIRTERSPI2,N,42903,TIR,RT2,TERSPI,34,4,1,15,175,over bank,under,na,NA,NA,1,0,Gesneriaceae,Besleria robusta,hairy,NA,slow,NA,no,NA,healthy,No,Michelle ripped leaf off and tied back
BG,TIRTERSPI3,N,42903,TIR,RT2,TERSPI,34,1,1,22,217,over water,NA,18,194.148,738-739,1,0,Gesneriaceae,Besleria robusta,hairy,20,slow,sand,no,NA,healthy,no,Many TERSPI calling above
BG,TIRTERSPI4,N,42903,TIR,RT2,TERSPI,40,na,1,1,210,over water,under,0,NA,742-744,0,3,Piperaceae,Piper pentagonum,glabrous,NA,medium,NA,no,NA,i unhealthy at stage 1,no,NA
BG,TIRTERSPI5,N,42903,TIR,RT2,TERSPI,43,3,1,15?,215,over water,under,na,NA,745-748,0,3,Araceae,NA,glabrous,NA,medium,NA,no,NA,healthy,no,one dropped due to MT
BG,TIRTERSPI6,N,42903,TIR,RT3,TERSPI,30,4,1,3,100,over land,under,na,613.049,749-753,0,5,Araceae,Philodendron grandipes,glabrous,NA,NA,NA,no,NA,healthy,yes,male calling near at 130cm height
BG,TIRTESPPRO2,N,42903,TIR,RT3,ESPPRO,35,4,1,16,150,over water,moss,na,NA,NA,0,5,Moss,NA,other,NA,NA,NA,no,NA,15 healthy/1 fungal/parasite,yes,Michelle broke mossy stick and tied back
XOR,POT4TERSPI1,N,18-June-17,POT4,RT3,TERSPI,28,4,1,18,68,over bank,under,na,221.673,10-11,0,NA,Araceae,NA,glabrous,1,NA,rock,adult nearby,adult nearby (0.5m away),healthy,NA,NA
XOR,POT4HYAVAL1,N,18-June-17,POT4,RT1,HYAVAL,30.5,3/4,1,30,100,over water,under,na,847.287,12-15,0,NA,Marantaceae,NA,glabrous,25,NA,rock,male guarding,not touching,healthy,NA,NA
XOR,POT4HYAVAL2,N,18-June-17,POT4,RT1,HYAVAL,49,2,1,18,89,over water,under,0,167.204,16-20,0,NA,Hernandiaceae,Hernandia didymantha,glabrous,5,NA,sand,male guarding,not touching,healthy,NA,NA
BG,P16ESPPRO8,D,19-June-17,P16,RT2,ESPPRO,26,"1,2",1,22?,280,over water,top,0,NA,21-24 REU,2,0,Piperaceae,Piper decurrens,glabrous,NA,NA,sand,no,NA,healthy,no,to high to see clearly
BG,P5HYAVAL1,N,42907,P5,RT2,HYAVAL,25,4,2,2,153,over water,under,na,271.547,819-824,2,0,Cyclanthaceae,NA,glabrous,NA,medium,NA,no,NA,1 fungal/parasite,no,Male for Hyaval 1+2
BG,P5HYAVAL2,N,42907,P5,RT2,HYAVAL,25,3,2,48,160,over water,under,na,271.547,819-824,2,0,Cyclanthaceae,NA,glabrous,NA,medium,NA,no,NA,1 fungal/parasite,no,Male for Hyaval 1+2
BG,P5HYAVAL3,N,42907,P5,RT2,HYAVAL,26,2,1,44,157,over water,under,27.4,472.991,829-831,2,0,Cyclanthaceae,NA,glabrous,10,fast,NA,yes,touching,healthy,yes,"((3,19,34,35)?"
BG,P5EPPRO1,N,42907,P5,RT2,ESPPRO,26,4,1,13?,255,over water,moss,na,NA,832-835,2,0,Moss,on tree:,other,12,medium,rock,no,NA,1 undeveloped,no,NA
BG,P5TERSPI1,N,42907,P5,RT2,TERSPI,49,4,1,13,157,over water,under,na,36.589,839-848,0,23,Rubiaceae,Psychotria buchtienii,glabrous,18,slow,rock,no,NA,healthy,no,NA
BG,P5ESPPRO2,N,42907,P5,RT1,ESPPRO,5,4,1,3,180,over water,under,na,NA,849-851,0,NA,Moss,(on tree Moraceae:Brosimum lactescens),other,22,slow,sand,no,NA,1 fungal/parasite,no,NA
BG,P5TERSPI2,N,42907,P5,RT1,TERSPI,uk,uk,1,uk,345,over water,under,NA,NA,852,NA,NA,Araceae,NA,glabrous,20,medium,rock,no,NA,healthy,yes,NA
BG,P5ESPPRO3,N,42907,P5,RT1,ESPPRO,37,4,2,20?,268,bank,moss,na,NA,855-860,1,0.5,Moss,NA,other,NA,medium,NA,no,NA,healthy,na,3+4 somewhat on top of one another in the moss
BG,P5ESPPRO4,N,42907,P5,RT1,ESPPRO,37,1,2,20?,268,bank,moss,na,NA,855-860,1,0.5,Moss,NA,other,NA,medium,NA,no,NA,healthy,na,3+4 somewhat on top of one another in the moss
BG,P5HYAVAL4,N,42907,P5,RT1,HYAVAL,36.5,2,1,34,128,bank,under,14.2,158.107,861-868,1,0.5,NA,NA,NA,NA,NA,NA,yes,not touching,healthy,no,1-2 possible predation
BG,P5HYAVAL5,N,42907,P5,RT4,HYAVAL,12,4,3,1,80,over water,under,na,351.289,869-874,2,0,Araceae,Spathaphylum sp.,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL6,N,42907,P5,RT4,HYAVAL,12,3,3,38,80,over water,under,na,351.289,869-874,2,0,Araceae,Spathaphylum sp.,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL7,N,42907,P5,RT4,HYAVAL,12,2,3,42 0r 55 (55 was written in #clutches),80,over water,under,38.4,351.289,869-874,2,0,Araceae,Spathaphylum sp.,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL8,N,42907,P5,RT4,HYAVAL,19,"1,2",1,45,150,bank,under,50.1,381.293,875-882,0,7,Arecaceae,NA,glabrous,NA,NA,NA,yes,not touching,healthy,no,NA
BG,P5HYAVAL9,N,42907,P5,RT4,HYAVAL,28,"3,4",1,42?,90,over water,under,na,274.465,884-888,0,10,Cyclanthaceae,NA,glabrous,7,medium,mud,yes,not touching,healthy,yes,NA
BG,P5HYAVAL10,N,42907,P5,RT4,HYAVAL,38,2,2,50?,313,over water,under,229.85,3398.077,889-891,1,0,Arecaceae,NA,glabrous,19,medium,mud,yes,not touching,healthy,no,"Male for Hyaval 10,11"
BG,P5HYAVAL11,N,42907,P5,RT4,HYAVAL,38,3,2,44?,313,over water,under,na,3398.077,889-891,1,0,Arecaceae,NA,glabrous,19,medium,mud,yes,not touching,healthy,no,"Male for Hyaval 10,11"
BG,P5HYAVAL12,N,42907,P5,RT4,HYAVAL,40,1,3,4,120,over water,under,11.3,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,fungus/parasite,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL13,N,42907,P5,RT4,HYAVAL,40,4,3,11,120,over water,under,na,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,healthy,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL14,N,42907,P5,RT4,HYAVAL,40,4,3,43,120,over water,under,na,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,healthy,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL15,N,42907,P5,RT4,HYAVAL,40,4,2,26,160,bank,under,na,152.382,899,7,0,Rubiaceae,Faramea suerrensis,glabrous,NA,medium,NA,no,NA,2 fungus/parasite,no,"2 Males near. Male Hyaval 15,16"
BG,P5HYAVAL16,N,42907,P5,RT4,HYAVAL,40,1,2,1,160,bank,under,NA,152.382,899,7,0,Rubiaceae,Faramea suerrensis,glabrous,NA,medium,NA,no,NA,fungus/parasite,no,"2 Males near. Male Hyaval 15,16"
BG,P5TERSPI3,N,42907,P5,RT4,TERSPI,45,2,1,23,245,over water,under,0,103.27,900-904,0,0,Costaceae,NA,glabrous,18,slow,rock,no,NA,healthy,no,NA
MET,P15HYAVAL1,N,42910,P15,RT2,HYAVAL,38,4,1,uk,430,over water,under,na,NA,NA,3,NA,Rhamnaceae,Colubrina spinosa,glabrous,9,fast,rock,male guarding,not touching,NA,no,NA
MET,P15HYAVAL2,N,42910,P15,RT2,HYAVAL,38,1,1,uk,430,over water,under,NA,NA,NA,3,NA,Rhamnaceae,Colubrina spinosa,glabrous,55,fast,rock,male guarding,touching,NA,no,NA
MET,P15HYAVAL3,N,42910,P15,RT2,HYAVAL,38,2/3,1,uk,430,over water,under,NA,NA,NA,3,NA,Rhamnaceae,Colubrina spinosa,glabrous,45,fast,rock,male guarding,not touching,NA,no,NA
MET,P15HYAVAL4,N,42910,P15,RT2,HYAVAL,38,3/4,1,uk,430,over water,under,na,NA,NA,3,NA,Rhamnaceae,Colubrina spinosa,glabrous,45,fast,rock,male guarding,not touching,NA,no,NA
XOR,P13TERSPI1,N,42911,P13,RT2,TERSPI,29,3,1,22,170,over water,under,na,119.822,1041-1044,0,NA,Melastomataceae,Miconia gracilis,glabrous,10,medium,rock,no,NA,healthy,yes,NA
XOR,P13TERSPI2,N,42911,P13,RT2,TERSPI,41.5,4,1,21,169,over water,under,na,27.896,26,0,NA,Arecaceae,NA,glabrous,9,fast,rock,no,NA,healthy,no,NA
XOR,P13HYAVAL1,N,42911,P13,RT3,HYAVAL,9,3/4,1,33+-2,300,over water,under,na,122.715,1057-1058,1,1.5,Araliaceae,Dendropanax arboreus,glabrous,12,medium,rock,yes,touching,NA,no,NA
XOR,P13HYAVAL2,N,42911,P13,RT3,HYAVAL,10,4,1,44,380,over water,under,na,529.211,1059-1063,1,1.5,Araceae,NA,glabrous,5,medium,rock,yes,not touching,NA,no,NA
BG,P15HYAVAL5,D,42914,P15,RT2,HYAVAL,38,1,2,40+-1,430,over water,under,NA,NA,1242,NA,NA,Rhamnaceae,Colubrina spinosa,glabrous,9,fast,rock,yes,not touching,healthy,no,Touching other eggs
BG,P15HYAVAL6,D,42914,P15,RT2,HYAVAL,38,1,2,43,430,over water,under,NA,NA,1248,NA,NA,Rhamnaceae,Colubrina spinosa,glabrous,55,fast,rock,yes,not touching,healthy,no,touching other eggs
XOR,P1TERSPI9,N,42915,P1,RT3,TERSPI,42,3?,1,unk,170,over bank,under,NA,1709.071,3343-3352/1333-1342,2 + some old ones,2,Araceae,Diffenbachia nitidipetiolata,glabrous,NA,medium,NA,no,NA,NA,no,NA
XOR,P1TERSPI10,N,42915,P1,RT3,TERSPI,45,1,1,22,270,over bank,under,0,NA,3354-3356/1344-1346,2 + some old ones,1,NA,NA,NA,NA,medium,NA,no,NA,NA,no,NA
XOR,P1TERSPI11,N,42915,P1,RT3,TERSPI,50,1,1,23,240,over land,under,9.1300000000000008,313.238,3357-3359/1347-1349,0,5,Piperaceae,Piper urophyllum,glabrous,NA,NA,NA,no,NA,healthy,no,NA
MET,5615,N,42674,P1,RT2,HYAVAL,NA,NA,1,NA,169,over water,under,NA,NA,648-653,NA,NA,Piperaceae,Piper generalense,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
XOR,P1TERSPI12,N,42915,P1,RT2,TERSPI,0,1,1,12,90,over land,under,0,50.707,3366-3368/1356-1358,1,20cm (estimated),Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,healthy,no,check if on same leaf
XOR,P1TERSPI13,N,42915,P1,RT2,TERSPI,0,1,1,1,95,over land,under,0,78.07,3369/1359,1,20cm (estimated),NA,NA,glabrous,NA,NA,NA,no,NA,1 healthy,yes,check if on same leaf
XOR,P1ESPPRO6,N,42915,P1,RT2,ESPPRO,17,4,1,30,105,over water,moss,na,NA,3370-3371/1360-1361,0,3,Moss,NA,other,17,medium,mud,3 adults nearby,NA,"28 healthy, 2 fungal",NA,1 just hatched
XOR,P1TERSPI14,N,42915,P1,RT2,TERSPI,20,1,1,21,220,over water,under,0,179.222,"3375-3378/1362,1365,1368",1,25cm (estimated),Acanthaceae,Bravaisia integerrima,hairy,20,medium,mud,no,NA,NA,no,NA
XOR,P1TERSPI15,N,42915,P1,RT2,TERSPI,20,1,1,23,220,over water,under,0,106.189,"3377-3379/1366,67,69",1,25cm (estimated),Acanthaceae,Bravaisia integerrima,hairy,14,medium,mud,no,NA,NA,yes,NA
XOR,P1HYAVAL20,N,42915,P1,RT2,HYAVAL,48.5,1,2,45,120,over water,under,32.5,351.788,3380-3381/1370-1371,3,2,Cyclanthaceae,NA,glabrous,25,fast,mud,male guarding,touching,healthy,no,NA
XOR,P1HYAVAL21,N,42915,P1,RT2,HYAVAL,50,3/4,2,37,130,over water,under,na,1133.054,3382-3386/1372-1376,3,0.5 (estimated),Marantaceae,NA,glabrous,16,fast,mud,in amplexus,in amplexus,all healthy,no,"hyaval 21, 22, 32same male"
XOR,P1HYAVAL22,N,42915,P1,RT2,HYAVAL,50,1,2,51,130,over water,under,75,1133.054,3382-3386/1372-1377,3,0.5 (estimated),Marantaceae,NA,glabrous,16,fast,mud,in amplexus,in amplexus,all healthy,no,"hyaval 21, 22, 32same male"
XOR,P1HYAVAL23,N,42915,P1,RT2,HYAVAL,50,1,1,40,190,over water,under,6,NA,3387-3391/1377-1384,3,0.5 (estimated),Marantaceae,NA,glabrous,17,fast,sand,male guarding,not touching,healthy,no,NA
XOR,P1TERSPI13,N,42915,P1,RT1,TERSPI,7,1,1,1,140,over water,under,0,NA,1386-1391,0,NA,Araceae,NA,glabrous,28,slow,mud,no,NA,1 fungal,NA,NA
XOR,P1ESPPRO7,N,42915,P1,RT1,ESPPRO,12,4,1,20,175,over water,moss,na,NA,3409/1399,0,NA,Moss,NA,other,14,medium,sand,adults nearby,NA,3 underdeveloped,NA,NA
MET,5604.1,N,42674,P1,RT3,HYAVAL,NA,NA,2,NA,300,over land,under,NA,NA,NA,NA,NA,Burseraceae,Protium panamense,glabrous,NA,NA,NA,male guarding,NA,NA,NA,NA
XOR,P1TERSPI15.1,N,42915,P1,RT1,TERSPI,25,1,1,22+-1,350,over water,under,0,374.745,3419-3422/1409-1412,0,NA,Moraceae,Ficus tonduzii,glabrous,20,medium,sand,no,NA,NA,no,check species
MET,5604.2,N,42674,P1,RT3,HYAVAL,NA,NA,2,NA,300,over land,under,NA,NA,NA,NA,NA,Burseraceae,Protium panamense,glabrous,NA,NA,NA,male guarding,NA,NA,NA,NA
MET,5607,N,42674,P1,RT3,HYAVAL,NA,NA,1,NA,200,over water,under,NA,NA,638-643,NA,NA,Euphorbiaceae,Acalypha diversifolia,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,P1HYAVAL16,N,11-June-17,P1,RT3,HYAVAL,48,1,1,51,135,over water,under,29.1,370.051,696-697,7,2,Araceae,Anthurium upalaense,glabrous,10,NA,mud,male guarding,touching,healthy,NA,NA
MET,P1HYAVAL17,N,11-June-17,P1,RT3,HYAVAL,48,unk,1,unk,800,over bank,under,NA,NA,NA,2,2,Burseraceae,Protium panamense,glabrous,NA,NA,mud,male guarding,touching,uk,damaged leaf,NA
XOR,P1HYAVAL19,N,42915,P1,RT3,HYAVAL,50,1,1,45,400,over bank,under,24.27,359.131,3363-3365/1353-1355,1,across,Burseraceae,Protium panamense,glabrous,NA,NA,NA,yes,not touching,healthy,no,NA
BG,POT4HYAVAL3,N,42917,POT4,RT1,HYAVAL,31,2,2,33,130,over water,under,17.5,451.181,"1630-1633, 1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4HYAVAL4,N,42917,POT4,RT1,HYAVAL,31,2,2,37,130,over water,under,13.1,451.181,"1630-1633,1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,not touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4TERSPI2,N,42917,POT4,RT1,TERSPI,50,3,1,21,100,over water,under,na,NA,1634,1,0,Hernandiaceae,Hernandia didymantha,glabrous,11,slow,sand,no,NA,healthy,yes,heavy rainfall
BG,POT4TERSPI3,N,42917,POT4,RT2,TERSPI,41,1,1,17,22,over land,under,0,NA,1635-1637,0,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,healthy,no,"heavy rainfall, caterpillar found on same leaf. Very droopy"
BG,P16ESPPRO9,N,42918,P16,RT1,ESPPRO,16,4,1,2,140,over land,moss,na,NA,NA,0,34,Moss,NA,other,NA,NA,NA,no,NA,healthy,no,male nearby
BG,P16TERSPI5,N,42918,P16,RT1,TERSPI,50,4,1,17,169,over water,under,na,1026.65,30-31 REU,0,34,NA,NA,NA,12,slow,mud,no,NA,"16 healthy, 1 undeveloped",no,NA
BG,P16ESPPRO10,N,42918,P16,RT2,ESPPRO,13,2,1,unk,300,over land,top,0,188.493,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
BG,P16ESPPRO11,N,42918,P16,RT2,ESPPRO,13,"1,2",1,unk,300,over land,under,0,58.965,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
BG,P5TERSPI4,N,42919,P5,RT2,TERSPI,8,4,1,14,105,over water,under,na,101.159,1550,0,18,Costaceae,NA,glabrous,24,slow,boulder,no,NA,healthy,yes,Adult near
BG,P5HYAVAL19,N,42919,P5,RT2,HYAVAL,26,2,2,47,155,over water,under,23.3,472.991,1551,2,0,Cyclanthaceae,NA,glabrous,12,fast,boulder,yes,not touching,healthy,no,"same leaf HYAVAL3 (3,19,34,35)"
BG,P5ESPPRO6,N,42919,P5,RT2,ESPPRO,26,2,1,unk,225,over water,moss,na,NA,NA,2,0.5 (estimated),Moss,NA,other,10,medium,boulder,no,NA,healthy,NA,Big spider nearby
BG,P5TERSPI5,N,42919,P5,RT2,TERSPI,30,4,1,4,145,over water,under,na,184.848,1554-1555,0,4,Arecaceae,NA,glabrous,7,slow,rock,no,NA,1 undeveloped,no,1 stage 2 undev
BG,P5HYAVAL20,N,42919,P5,RT2,HYAVAL,46,unk,1,unk,520,over land,under,NA,NA,1557-1578,0,3,Araceae,NA,glabrous,NA,NA,NA,yes,not touching,NA,no,too high
BG,P5TERSPI6,N,42919,P5,RT2,TERSPI,49,1,1,14,225,over water,under,0,150.897,1563-1564,1,.2 (estimated),Cyclanthaceae,NA,glabrous,21,slow,boulder,no,NA,healthy,no,NA
BG,P5TERSPI7,N,42919,P5,RT2,TERSPI,49,"2,3",1,21,240,over water,under,0,161.271,1565-1567,1,.2 (estimated),Cyclanthaceae,NA,glabrous,28,slow,boulder,no,NA,healthy,no,NA
BG,P5ESPPRO7,N,42919,P5,RT1,ESPPRO,13,2,1,26-27,140,over water,top,0,219.986,1568-1573,3,0.5,Melastomataceae,NA,hairy,1,slow,mud,no,NA,healthy,no,NA
BG,P5ESPPRO8,N,42919,P5,RT1,ESPPRO,12.5,1,1,unk,380,over water,top,0,NA,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,NA,NA,no,NA
BG,P5ESPPRO9,N,42919,P5,RT1,ESPPRO,12.5,1,1,unk,390,over water,top,0,NA,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,NA,NA,no,NA
BG,P5ESPPRO10,N,42919,P5,RT1,ESPPRO,12,unk,1,unk,324,over water,top,0,127.7,1577,3,0.5,Rubiaceae,Palicourea calidicola,glabrous,13,slow,boulder,no,NA,NA,yes,NA
BG,P5TERSPI8,N,42919,P5,RT1,TERSPI,19,3,1,25,420,over water,under,na,NA,1579,2,1.5,Araceae,NA,glabrous,2,slow,boulder,no,NA,healthy,no,NA
BG,P5HYAVAL21,N,42919,P5,RT1,HYAVAL,20.5,1,2,40,130,over water,under,7.5,359.627,1580-1583,2,0,Araceae,Spathaphylum sp.,glabrous,14,slow,boulder,yes,touching other mass,healthy,no,NA
BG,P5HYAVAL22,N,42919,P5,RT1,HYAVAL,20.5,1,2,46,130,over water,under,12.2,359.627,1590-1583,2,0,Araceae,Spathaphylum sp.,glabrous,14,slow,boulder,yes,touching,healthy,no,NA
BG,P5ESPPRO11,N,42919,P5,RT1,ESPPRO,35,1,1,35,220,over water,top,1.2,113.826,1584,NA,13,NA,NA,NA,NA,NA,NA,no,NA,healthy,no,wasp on eggs
BG,P5HYAVAL23,N,42919,P5,RT1,HYAVAL,48,1,1,42,140,over water,under,21.6,993.996,1585-1590,0,13,Arecaceae,NA,glabrous,5,slow,mud,yes,touching,healthy,no,male calling
BG,P5HYAVAL24,N,42919,P5,RT4,HYAVAL,15,1,2,44,100,over land,under,16.100000000000001,246.5,1591-1592,1,0,Araceae,Spathaphylum sp.,glabrous,NA,NA,NA,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL25,N,42919,P5,RT4,HYAVAL,15,2,2,36,100,over land,under,16.100000000000001,246.5,1591-1592,1,0,Araceae,Spathaphylum sp.,glabrous,NA,NA,NA,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL26,N,42919,P5,RT4,HYAVAL,18,1,3,41,150,over land,under,na,381.293,1596,2,0,Araceae,NA,glabrous,NA,NA,NA,yes,touching,healthy,no,Same male as Hyaval 9+18
BG,P5HYAVAL27,N,42919,P5,RT4,HYAVAL,29,2,1,38,150,over land,under,15.1,154.616,1602-1603,2,2,Moraceae,Soroceae pubivena,hairy,NA,NA,NA,yes,not touching,healthy,no,NA
BG,P5TERSPI9,N,42919,P5,RT4,TERSPI,31,2,1,15,230,over water,under,0,78.477,1604,2,0.5,Araceae,NA,glabrous,15,medium,boulder,no,NA,healthy,yes,NA
BG,P5HYAVAL28,N,42919,P5,RT4,HYAVAL,31.5,2,1,52,90,over water,under,11.7,345.063,1606-1607,2,0.5,Cyclanthaceae,NA,glabrous,1.3,slow,mud,yes,not touching,healthy,no,Same as Hyaval 9
