Who,ID,Day/Night,Date,Site,Transect,Species,Meter,Stage,clutches,eggs,Height,Locn,Position of Leaf,Distance to margin,Leaf area,Photos,other EM,dist to nearest othr EM,Plant Family,Plant species,Leaf type,Water depth,Water velocity,Strm subst,Parent,parent position,health at first obs,Leaf damage?,Notes
BG,TIRTERSPI1,N,17-Jun-17,TIR,RT2,TERSPI,26,"3, 4",1,25,122,over water,under,na,1103.288,735-736,0,3,Araceae,Anthurium ochanthum,glabrous,15,medium,rock,no,,healthy,damaged leaf,holey leaf
BG,TIRTERSPI2,N,17-Jun-17,TIR,RT2,TERSPI,34,4,1,15,175,over bank,under,na,,,1,0,Gesneriaceae,Besleria robusta,hairy,,slow,,no,,healthy,No,Michelle ripped leaf off and tied back
BG,TIRTERSPI3,N,17-Jun-17,TIR,RT2,TERSPI,34,1,1,22,217,over water,,18,194.148,738-739,1,0,Gesneriaceae,Besleria robusta,hairy,20,slow,sand,no,,healthy,no,Many TERSPI calling above
BG,TIRTERSPI4,N,17-Jun-17,TIR,RT2,TERSPI,40,na,1,1,210,over water,under,0,,742-744,0,3,Piperaceae,Piper pentagonum,glabrous,,medium,,no,,i unhealthy at stage 1,no,
BG,TIRTERSPI5,N,17-Jun-17,TIR,RT2,TERSPI,43,3,1,15?,215,over water,under,na,,745-748,0,3,Araceae,,glabrous,,medium,,no,,healthy,no,one dropped due to MT
BG,TIRTERSPI6,N,17-Jun-17,TIR,RT3,TERSPI,30,4,1,3,100,over land,under,na,613.049,749-753,0,5,Araceae,Philodendron grandipes,glabrous,,,,no,,healthy,yes,male calling near at 130cm height
BG,TIRTESPPRO2,N,17-Jun-17,TIR,RT3,ESPPRO,35,4,1,16,150,over water,moss,na,,,0,5,Moss,,other,,,,no,,15 healthy/1 fungal/parasite,yes,Michelle broke mossy stick and tied back
XOR,POT4TERSPI1,N,18-Jun-17,POT4,RT3,TERSPI,28,4,1,18,68,over bank,under,na,221.673,11-Oct,0,,Araceae,,glabrous,1,,rock,adult nearby,adult nearby (0.5m away),healthy,,
XOR,POT4HYAVAL1,N,18-Jun-17,POT4,RT1,HYAVAL,30.5,4-Mar,1,30,100,over water,under,na,847.287,15-Dec,0,,Marantaceae,,glabrous,25,,rock,male guarding,not touching,healthy,,
XOR,POT4HYAVAL2,N,18-Jun-17,POT4,RT1,HYAVAL,49,2,1,18,89,over water,under,0,167.204,16-20,0,,Hernandiaceae,Hernandia didymantha,glabrous,5,,sand,male guarding,not touching,healthy,,
BG,P16ESPPRO8,D,19-Jun-17,P16,RT2,ESPPRO,26,"1,2",1,22?,280,over water,top,0,,21-24 REU,2,0,Piperaceae,Piper decurrens,glabrous,,,sand,no,,healthy,no,to high to see clearly
BG,P5HYAVAL1,N,21-Jun-17,P5,RT2,HYAVAL,25,4,2,2,153,over water,under,na,271.547,819-824,2,0,Cyclanthaceae,,glabrous,,medium,,no,,1 fungal/parasite,no,Male for Hyaval 1+2 
BG,P5HYAVAL2,N,21-Jun-17,P5,RT2,HYAVAL,25,3,2,48,160,over water,under,na,271.547,819-824,2,0,Cyclanthaceae,,glabrous,,medium,,no,,1 fungal/parasite,no,Male for Hyaval 1+2
BG,P5HYAVAL3,N,21-Jun-17,P5,RT2,HYAVAL,26,2,1,44,157,over water,under,27.4,472.991,829-831,2,0,Cyclanthaceae,,glabrous,10,fast,,yes,touching,healthy,yes,"((3,19,34,35)?"
BG,P5EPPRO1,N,21-Jun-17,P5,RT2,ESPPRO,26,4,1,13?,255,over water,moss,na,,832-835,2,0,Moss,on tree: ,other,12,medium,rock,no,,1 undeveloped,no,
BG,P5TERSPI1,N,21-Jun-17,P5,RT2,TERSPI,49,4,1,13,157,over water,under,na,36.589,839-848,0,23,Rubiaceae,Psychotria buchtienii,glabrous,18,slow,rock,no,,healthy,no,
BG,P5ESPPRO2,N,21-Jun-17,P5,RT1,ESPPRO,5,4,1,3,180,over water,under,na,,849-851,0,,Moss,(on tree Moraceae:Brosimum lactescens),other,22,slow,sand,no,,1 fungal/parasite,no,
BG,P5TERSPI2,N,21-Jun-17,P5,RT1,TERSPI,uk,uk,1,uk,345,over water,under,,,852,,,Araceae,,glabrous,20,medium,rock,no,,healthy,yes,
BG,P5ESPPRO3,N,21-Jun-17,P5,RT1,ESPPRO,37,4,2,20?,268,bank,moss,na,,855-860,1,0.5,Moss,,other,,medium,,no,,healthy,na,3+4 somewhat on top of one another in the moss
BG,P5ESPPRO4,N,21-Jun-17,P5,RT1,ESPPRO,37,1,2,20?,268,bank,moss,na,,855-860,1,0.5,Moss,,other,,medium,,no,,healthy,na,3+4 somewhat on top of one another in the moss
BG,P5HYAVAL4,N,21-Jun-17,P5,RT1,HYAVAL,36.5,2,1,34,128,bank,under,14.2,158.107,861-868,1,0.5,,,,,,,yes,not touching,healthy,no,1-2 possible predation
BG,P5HYAVAL5,N,21-Jun-17,P5,RT4,HYAVAL,12,4,3,1,80,over water,under,na,351.289,869-874,2,0,Araceae,Spathaphylum sp. ,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL6,N,21-Jun-17,P5,RT4,HYAVAL,12,3,3,38,80,over water,under,na,351.289,869-874,2,0,Araceae,Spathaphylum sp. ,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL7,N,21-Jun-17,P5,RT4,HYAVAL,12,2,3,42 0r 55 (55 was written in #clutches),80,over water,under,38.4,351.289,869-874,2,0,Araceae,Spathaphylum sp. ,glabrous,8,fast,rock,yes,touching,healthy,no,"Male for Hyaval 5,6,7"
BG,P5HYAVAL8,N,21-Jun-17,P5,RT4,HYAVAL,19,"1,2",1,45,150,bank,under,50.1,381.293,875-882,0,7,Arecaceae,,glabrous,,,,yes,not touching,healthy,no,
BG,P5HYAVAL9,N,21-Jun-17,P5,RT4,HYAVAL,28,"3,4",1,42?,90,over water,under,na,274.465,884-888,0,10,Cyclanthaceae,,glabrous,7,medium,mud,yes,not touching,healthy,yes,
BG,P5HYAVAL10,N,21-Jun-17,P5,RT4,HYAVAL,38,2,2,50?,313,over water,under,229.85,3398.077,889-891,1,0,Arecaceae,,glabrous,19,medium,mud,yes,not touching,healthy,no,"Male for Hyaval 10,11"
BG,P5HYAVAL11,N,21-Jun-17,P5,RT4,HYAVAL,38,3,2,44?,313,over water,under,na,3398.077,889-891,1,0,Arecaceae,,glabrous,19,medium,mud,yes,not touching,healthy,no,"Male for Hyaval 10,11"
BG,P5HYAVAL12,N,21-Jun-17,P5,RT4,HYAVAL,40,1,3,4,120,over water,under,11.3,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,fungus/parasite,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL13,N,21-Jun-17,P5,RT4,HYAVAL,40,4,3,11,120,over water,under,na,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,healthy,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL14,N,21-Jun-17,P5,RT4,HYAVAL,40,4,3,43,120,over water,under,na,77.001,892-896,7,0,Rubiaceae,Faramea suerrensis,glabrous,21,medium,rock,yes,not touching,healthy,no,"Male Hyaval 12,13,14"
BG,P5HYAVAL15,N,21-Jun-17,P5,RT4,HYAVAL,40,4,2,26,160,bank,under,na,152.382,899,7,0,Rubiaceae,Faramea suerrensis,glabrous,,medium,,no,,2 fungus/parasite,no,"2 Males near. Male Hyaval 15,16"
BG,P5HYAVAL16,N,21-Jun-17,P5,RT4,HYAVAL,40,1,2,1,160,bank,under,,152.382,899,7,0,Rubiaceae,Faramea suerrensis,glabrous,,medium,,no,,fungus/parasite,no,"2 Males near. Male Hyaval 15,16"
BG,P5TERSPI3,N,21-Jun-17,P5,RT4,TERSPI,45,2,1,23,245,over water,under,0,103.27,900-904,0,0,Costaceae,,glabrous,18,slow,rock,no,,healthy,no,
MET,P15HYAVAL1,N,24-Jun-17,P15 ,RT2,HYAVAL,38,4,1,uk,430,over water,under,na,,,3,,Rhamnaceae,Colubrina spinosa,glabrous,9,fast,rock,male guarding,not touching,,no,
MET,P15HYAVAL2,N,24-Jun-17,P15 ,RT2,HYAVAL,38,1,1,uk,430,over water,under,,,,3,,Rhamnaceae,Colubrina spinosa,glabrous,55,fast,rock,male guarding,touching,,no,
MET,P15HYAVAL3,N,24-Jun-17,P15 ,RT2,HYAVAL,38,3-Feb,1,uk,430,over water,under,,,,3,,Rhamnaceae,Colubrina spinosa,glabrous,45,fast,rock,male guarding,not touching,,no,
MET,P15HYAVAL4,N,24-Jun-17,P15 ,RT2,HYAVAL,38,4-Mar,1,uk,430,over water,under,na,,,3,,Rhamnaceae,Colubrina spinosa,glabrous,45,fast,rock,male guarding,not touching,,no,
XOR,P13TERSPI1,N,25-Jun-17,P13,RT2,TERSPI,29,3,1,22,170,over water,under,na,119.822,1041-1044,0,,Melastomataceae,Miconia gracilis,glabrous,10,medium,rock,no,,healthy,yes,
XOR,P13TERSPI2,N,25-Jun-17,P13,RT2,TERSPI,41.5,4,1,21,169,over water,under,na,27.896,26,0,,Arecaceae,,glabrous,9,fast,rock,no,,healthy,no,
XOR,P13HYAVAL1,N,25-Jun-17,P13,RT3,HYAVAL,9,4-Mar,1,33+-2,300,over water,under,na,122.715,1057-1058,1,1.5,Araliaceae,Dendropanax arboreus,glabrous,12,medium,rock,yes,touching,,no,
XOR,P13HYAVAL2,N,25-Jun-17,P13,RT3,HYAVAL,10,4,1,44,380,over water,under,na,529.211,1059-1063,1,1.5,Araceae,,glabrous,5,medium,rock,yes,not touching,,no,
BG,P15HYAVAL5,D,28-Jun-17,P15 ,RT2,HYAVAL,38,1,2,40+-1,430,over water,under,,,1242,,,Rhamnaceae,Colubrina spinosa,glabrous,9,fast,rock,yes,not touching,healthy,no,Touching other eggs
BG,P15HYAVAL6,D,28-Jun-17,P15 ,RT2,HYAVAL,38,1,2,43,430,over water,under,,,1248,,,Rhamnaceae,Colubrina spinosa,glabrous,55,fast,rock,yes,not touching,healthy,no,touching other eggs
XOR,P1TERSPI9,N,29-Jun-17,P1,RT3,TERSPI,42,3?,1,unk,170,over bank,under,,1709.071,3343-3352/1333-1342,2 + some old ones,2,Araceae,Diffenbachia nitidipetiolata,glabrous,,medium,,no,,,no,
XOR,P1TERSPI10,N,29-Jun-17,P1,RT3,TERSPI,45,1,1,22,270,over bank,under,0,,3354-3356/1344-1346,2 + some old ones,1,,,,,medium,,no,,,no,
XOR,P1TERSPI11,N,29-Jun-17,P1,RT3,TERSPI,50,1,1,23,240,over land,under,9.13,313.238,3357-3359/1347-1349,0,5,Piperaceae,Piper urophyllum,glabrous,,,,no,,healthy,no,
MET,5615,N,31-Oct-16,P1,RT2,HYAVAL,,,1,,169,over water,under,,,648-653 ,,,Piperaceae,Piper generalense,glabrous,,,,,,,,
XOR,P1TERSPI12,N,29-Jun-17,P1,RT2,TERSPI,0,1,1,12,90,over land,under,0,50.707,3366-3368/1356-1358,1,20cm (estimated),Rhamnaceae,Colubrina spinosa,glabrous,,,,no,,healthy,no,check if on same leaf
XOR,P1TERSPI13,N,29-Jun-17,P1,RT2,TERSPI,0,1,1,1,95,over land,under,0,78.07,3369/1359,1,20cm (estimated),,,glabrous,,,,no,,1 healthy,yes,check if on same leaf
XOR,P1ESPPRO6,N,29-Jun-17,P1,RT2,ESPPRO,17,4,1,30,105,over water,moss,na,,3370-3371/1360-1361,0,3,Moss,,other,17,medium,mud,3 adults nearby,,"28 healthy, 2 fungal",,1 just hatched
XOR,P1TERSPI14,N,29-Jun-17,P1,RT2,TERSPI,20,1,1,21,220,over water,under,0,179.222,"3375-3378/1362,1365,1368",1,25cm (estimated),Acanthaceae,Bravaisia integerrima,hairy,20,medium,mud,no,,,no,
XOR,P1TERSPI15,N,29-Jun-17,P1,RT2,TERSPI,20,1,1,23,220,over water,under,0,106.189,"3377-3379/1366,67,69",1,25cm (estimated),Acanthaceae,Bravaisia integerrima,hairy,14,medium,mud,no,,,yes,
XOR,P1HYAVAL20,N,29-Jun-17,P1,RT2,HYAVAL,48.5,1,2,45,120,over water,under,32.5,351.788,3380-3381/1370-1371,3,2,Cyclanthaceae,,glabrous,25,fast,mud,male guarding,touching,healthy,no,
XOR,P1HYAVAL21,N,29-Jun-17,P1,RT2,HYAVAL,50,4-Mar,2,37,130,over water,under,na,1133.054,3382-3386/1372-1376,3,0.5 (estimated),Marantaceae,,glabrous,16,fast,mud,in amplexus,in amplexus,all healthy,no,"hyaval 21, 22, 32same male"
XOR,P1HYAVAL22,N,29-Jun-17,P1,RT2,HYAVAL,50,1,2,51,130,over water,under,75,1133.054,3382-3386/1372-1377,3,0.5 (estimated),Marantaceae,,glabrous,16,fast,mud,in amplexus,in amplexus,all healthy,no,"hyaval 21, 22, 32same male"
XOR,P1HYAVAL23,N,29-Jun-17,P1,RT2,HYAVAL,50,1,1,40,190,over water,under,6,,3387-3391/1377-1384,3,0.5 (estimated),Marantaceae,,glabrous,17,fast,sand,male guarding,not touching,healthy,no,
XOR,P1TERSPI13,N,29-Jun-17,P1,RT1,TERSPI,7,1,1,1,140,over water,under,0,,1386-1391,0,,Araceae,,glabrous,28,slow,mud,no,,1 fungal,,
XOR,P1ESPPRO7,N,29-Jun-17,P1,RT1,ESPPRO,12,4,1,20,175,over water,moss,na,,3409/1399,0,,Moss,,other,14,medium,sand,adults nearby,,3 underdeveloped,,
MET,5604.1,N,31-Oct-16,P1,RT3,HYAVAL,,,2,,300,over land,under,,,,,,Burseraceae,Protium panamense,glabrous,,,,male guarding,,,,
XOR,P1TERSPI15.1,N,29-Jun-17,P1,RT1,TERSPI,25,1,1,22+-1,350,over water,under,0,374.745,3419-3422/1409-1412,0,,Moraceae,Ficus tonduzii,glabrous,20,medium,sand,no,,,no,check species
MET,5604.2,N,31-Oct-16,P1,RT3,HYAVAL,,,2,,300,over land,under,,,,,,Burseraceae,Protium panamense,glabrous,,,,male guarding,,,,
MET,5607,N,31-Oct-16,P1,RT3,HYAVAL,,,1,,200,over water,under,,,638-643,,,Euphorbiaceae,Acalypha diversifolia,glabrous,,,,,,,,
MET,P1HYAVAL16,N,11-Jun-17,P1,RT3,HYAVAL,48,1,1,51,135,over water,under,29.1,370.051,696-697,7,2,Araceae,Anthurium upalaense,glabrous,10,,mud,male guarding,touching,healthy,,
MET,P1HYAVAL17,N,11-Jun-17,P1,RT3,HYAVAL,48,unk,1,unk,800,over bank,under,,,,2,2,Burseraceae,Protium panamense,glabrous,,,mud,male guarding,touching,uk,damaged leaf,
XOR,P1HYAVAL19,N,29-Jun-17,P1,RT3,HYAVAL,50,1,1,45,400,over bank,under,24.27,359.131,3363-3365/1353-1355,1,across ,Burseraceae,Protium panamense,glabrous,,,,yes,not touching,healthy,no,
BG,POT4HYAVAL3,N,1-Jul-17,POT4,RT1,HYAVAL,31,2,2,33,130,over water,under,17.5,451.181,"1630-1633, 1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4HYAVAL4,N,1-Jul-17,POT4,RT1,HYAVAL,31,2,2,37,130,over water,under,13.1,451.181,"1630-1633,1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,not touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4TERSPI2,N,1-Jul-17,POT4,RT1,TERSPI,50,3,1,21,100,over water,under,na,,1634,1,0,Hernandiaceae,Hernandia didymantha,glabrous,11,slow,sand,no,,healthy,yes,heavy rainfall
BG,POT4TERSPI3,N,1-Jul-17,POT4,RT2,TERSPI,41,1,1,17,22,over land,under,0,,1635-1637,0,,Araceae,,glabrous,,,,no,,healthy,no,"heavy rainfall, caterpillar found on same leaf. Very droopy "
BG,P16ESPPRO9,N,2-Jul-17,P16,RT1,ESPPRO,16,4,1,2,140,over land,moss,na,,,0,34,Moss,,other,,,,no,,healthy,no,male nearby
BG,P16TERSPI5,N,2-Jul-17,P16,RT1,TERSPI,50,4,1,17,169,over water,under,na,1026.65,30-31 REU,0,34,,,,12,slow,mud,no,,"16 healthy, 1 undeveloped",no,
BG,P16ESPPRO10,N,2-Jul-17,P16,RT2,ESPPRO,13,2,1,unk,300,over land,top,0,188.493,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,,,,no,,,,
BG,P16ESPPRO11,N,2-Jul-17,P16,RT2,ESPPRO,13,"1,2",1,unk,300,over land,under,0,58.965,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,,,,no,,,,
BG,P5TERSPI4,N,3-Jul-17,P5,RT2,TERSPI,8,4,1,14,105,over water,under,na,101.159,1550,0,18,Costaceae,,glabrous,24,slow,boulder,no,,healthy,yes,Adult near
BG,P5HYAVAL19,N,3-Jul-17,P5,RT2,HYAVAL,26,2,2,47,155,over water,under,23.3,472.991,1551,2,0,Cyclanthaceae,,glabrous,12,fast,boulder,yes,not touching,healthy,no,"same leaf HYAVAL3 (3,19,34,35)"
BG,P5ESPPRO6,N,3-Jul-17,P5,RT2,ESPPRO,26,2,1,unk,225,over water,moss,na,,,2,0.5 (estimated),Moss,,other,10,medium,boulder,no,,healthy,,Big spider nearby
BG,P5TERSPI5,N,3-Jul-17,P5,RT2,TERSPI,30,4,1,4,145,over water,under,na,184.848,1554-1555,0,4,Arecaceae,,glabrous,7,slow,rock,no,,1 undeveloped,no,1 stage 2 undev
BG,P5HYAVAL20,N,3-Jul-17,P5,RT2,HYAVAL,46,unk,1,unk,520,over land,under,,,1557-1578,0,3,Araceae,,glabrous,,,,yes,not touching,,no,too high
BG,P5TERSPI6,N,3-Jul-17,P5,RT2,TERSPI,49,1,1,14,225,over water,under,0,150.897,1563-1564,1,.2 (estimated),Cyclanthaceae,,glabrous,21,slow,boulder,no,,healthy,no,
BG,P5TERSPI7,N,3-Jul-17,P5,RT2,TERSPI,49,"2,3",1,21,240,over water,under,0,161.271,1565-1567,1,.2 (estimated),Cyclanthaceae,,glabrous,28,slow,boulder,no,,healthy,no,
BG,P5ESPPRO7,N,3-Jul-17,P5,RT1,ESPPRO,13,2,1,26-27,140,over water,top,0,219.986,1568-1573,3,0.5,Melastomataceae,,hairy,1,slow,mud,no,,healthy,no,
BG,P5ESPPRO8,N,3-Jul-17,P5,RT1,ESPPRO,12.5,1,1,unk,380,over water,top,0,,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,,,no,
BG,P5ESPPRO9,N,3-Jul-17,P5,RT1,ESPPRO,12.5,1,1,unk,390,over water,top,0,,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,,,no,
BG,P5ESPPRO10,N,3-Jul-17,P5,RT1,ESPPRO,12,unk,1,unk,324,over water,top,0,127.7,1577,3,0.5,Rubiaceae,Palicourea calidicola,glabrous,13,slow,boulder,no,,,yes,
BG,P5TERSPI8,N,3-Jul-17,P5,RT1,TERSPI,19,3,1,25,420,over water,under,na,,1579,2,1.5,Araceae,,glabrous,2,slow,boulder,no,,healthy,no,
BG,P5HYAVAL21,N,3-Jul-17,P5,RT1,HYAVAL,20.5,1,2,40,130,over water,under,7.5,359.627,1580-1583,2,0,Araceae,Spathaphylum sp. ,glabrous,14,slow,boulder,yes,touching other mass,healthy,no,
BG,P5HYAVAL22,N,3-Jul-17,P5,RT1,HYAVAL,20.5,1,2,46,130,over water,under,12.2,359.627,1590-1583,2,0,Araceae,Spathaphylum sp. ,glabrous,14,slow,boulder,yes,touching,healthy,no,
BG,P5ESPPRO11,N,3-Jul-17,P5,RT1,ESPPRO,35,1,1,35,220,over water,top,1.2,113.826,1584,,13,,,,,,,no,,healthy,no,wasp on eggs
BG,P5HYAVAL23,N,3-Jul-17,P5,RT1,HYAVAL,48,1,1,42,140,over water,under,21.6,993.996,1585-1590,0,13,Arecaceae,,glabrous,5,slow,mud,yes,touching ,healthy,no,male calling
BG,P5HYAVAL24,N,3-Jul-17,P5,RT4,HYAVAL,15,1,2,44,100,over land,under,16.1,246.5,1591-1592,1,0,Araceae,Spathaphylum sp. ,glabrous,,,,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL25,N,3-Jul-17,P5,RT4,HYAVAL,15,2,2,36,100,over land,under,16.1,246.5,1591-1592,1,0,Araceae,Spathaphylum sp. ,glabrous,,,,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL26,N,3-Jul-17,P5,RT4,HYAVAL,18,1,3,41,150,over land,under,na,381.293,1596,2,0,Araceae,,glabrous,,,,yes,touching,healthy,no,Same male as Hyaval 9+18
BG,P5HYAVAL27,N,3-Jul-17,P5,RT4,HYAVAL,29,2,1,38,150,over land,under,15.1,154.616,1602-1603,2,2,Moraceae,Soroceae pubivena,hairy,,,,yes,not touching,healthy,no,
BG,P5TERSPI9,N,3-Jul-17,P5,RT4,TERSPI,31,2,1,15,230,over water,under,0,78.477,1604,2,0.5,Araceae,,glabrous,15,medium,boulder,no,,healthy,yes,
BG,P5HYAVAL28,N,3-Jul-17,P5,RT4,HYAVAL,31.5,2,1,52,90,over water,under,11.7,345.063,1606-1607,2,0.5,Cyclanthaceae,,glabrous,1.3,slow,mud,yes,not touching,healthy,no,Same as Hyaval 9
MET,P1ESPPRO5,D,3-Jul-17,P1,RT2,ESPPRO,26,1,1,26,225,over water,moss,na,,,3,0,Moss,,other,10,medium,boulder,no,,healthy,no,on top of P1ESPPRO6
MET - put in cluctch number,P1HYAVAL32,D,3-Jul-17,P1,RT2,HYAVAL,50,1,2,40,130,over water,under,na,1133.054,1536,4,,Marantaceae,,glabrous,16,fast,mud,yes,touching,healthy,no,"hyaval 21, 22, 32 same male"
MET,P15TERSPI1,N,7-Jul-17,P15 ,RT3,TERSPI,25,4,1,1,78,over bank,under,na,84.92,1649,0,,Gesneriaceae,Besleria robusta,hairy,7,medium,rock,maybe,potential male parent calling 50am away,healthy,no,
MET,P15TERSPI2,N,7-Jul-17,P15 ,RT2,TERSPI,0,1,1,19,185,over bank,under,24,272.337,1650-1654,3,2,Rhamnaceae,Colubrina spinosa,glabrous,7,medium,mud,no,,1 fungus/parasite,no,
MET,P15TERSPI3,N,7-Jul-17,P15 ,RT2,TERSPI,0,1,1,17,190,over bank,under,0,143.299,1655-1656,3,2,Costaceae,,glabrous,4,slow,mud,no,,1 fungus/parasite,no,
MET,P15HYAVAL7,N,7-Jul-17,P15 ,RT2,HYAVAL,4,4,2,34,500,over water,under,na,,1657,3,,Rubiaceae,Warszewiczia coccinea,hairy,27,fast,rock,yes,not touching,healthy,no,"hyaval 7, 8, same male"
MET,P15HYAVAL8,N,7-Jul-17,P15 ,RT2,HYAVAL,4,4,2,24,500,over water,under,na,,1657,3,,Rubiaceae,Warszewiczia coccinea,hairy,27,fast,rock,yes,not touching,healthy,no,"hyaval 7, 8, same male"
BG,P1ESPPRO8,D,7-Jul-17,P1,RT1,ESPPRO,12,2,1,19+-2,200,over water,moss,na,,,1,0.1 (estimate),Moss,,other,,,sand,no,,healthy,,next to ESPPRO1
BG,P1HYAVAL31,D,7-Jul-17,P1,RT2,HYAVAL,48.5,1,2,36,120,over water,under,unk,351.788,REU38,4,0,Cyclanthaceae,,glabrous,25,fast,mud,yes,touching,healthy,no,same HYAVAL20
MET,P5HYAVAL29,N,8-Jul-17,P5,RT2,HYAVAL,0.5,"3, 4",3,42,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,,glabrous,6,slow,boulder,yes,not touching,healthy,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL30,N,8-Jul-17,P5,RT2,HYAVAL,0.5,"3, 4",3,39,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,,glabrous,6,slow,boulder,yes,not touching,1 fungus/parasite,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL31,N,8-Jul-17,P5,RT2,HYAVAL,0.5,4,3,14,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,,glabrous,6,slow,boulder,yes,not touching,2 fungus/parasite,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL32,N,8-Jul-17,P5,RT1,HYAVAL,48,1,2,46,140,over water,under,21.6,993.996,1668,1,,Arecaceae,,glabrous,5,slow,mud,yes,not touching,healthy,no,same male as hyaval23
MET,P5HYAVAL36,N,8-Jul-17,P5,RT4,HYAVAL,29,1,3,47,150,over land,under,17.5,154.616,1672,5,0,Moraceae,Soroceae pubivena,hairy,,,,yes,not touching,healthy,no,"same male hyaval 33, 34, 27"
MET,P5HYAVAL40,N,8-Jul-17,P5,RT4,HYAVAL,29,2,3,36,150,over land,under,17.5,154.616,1672,5,0,Moraceae,Soroceae pubivena,hairy,,,,yes,not touching,healthy,no,"same male hyaval 33, 34, 27"
MET,POT4TERSPI10,N,10-Jul-17,POT4,RT3,TERSPI,19,2,1,21,52,over water,under,8,501.861,1726,0,,Araceae,Philodendron grandipes,glabrous,1,fast,boulder,no,,healthy,no,
MET,POT4TERSPI11,N,10-Jul-17,POT4,RT1,TERSPI,14,3,1,18,212,over water,under,na,296.791,1728-1730,0,5,Piperaceae,Piper pseudobumbratum,glabrous,1,medium,rock,no,,healthy,no,
MET,POT4TERSPI12,N,10-Jul-17,POT4,RT1,TERSPI,28,4,1,1,64,over water,under,na,128.503,1731-1732,2,2,Piperaceae,Piper pseudobumbratum,glabrous,7,fast,rock,no,,healthy,no,"terpi 12, 13 same plant"
MET,POT4TERSPI13,N,10-Jul-17,POT4,RT1,TERSPI,28,4,1,1,145,over water,under,na,153.32,1734-1735,2,2,Piperaceae,Piper pseudobumbratum,glabrous,7,fast,rock,no,,healthy,no,"terpi 12, 13 same plant"
XOR,TIRESPPRO10,N,10-Jul-17,TIR,RT2,ESPPRO,24,"3, 4",1,22,195,over water,top,na,29.106,1792,0,,Meliaceae,Guarea bullata,hairy,1,slow,mud,no,,healthy,yes,on dead leaf and moss
XOR,TIRTERSPI10,N,10-Jul-17,TIR,RT2,TERSPI,31,"1, 2",1,22,210,over water,under,0,443.487,1794,1,2,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,,healthy,no,
XOR,TIRTERSPI11,N,10-Jul-17,TIR,RT2,TERSPI,33,"3, 4",1,23,200,over water,under,na,155.635,1796,1,2,Gesneriaceae,Besleria robusta,hairy,10,slow,sand,no,,1 fungal,no,same plant as TIRTERSPI3
XOR,TIRTERSPI12,N,10-Jul-17,TIR,RT2,TERSPI,40.5,1,2,1,130,over water,under,3,192.709,1798-1799,1,0.0086,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,,undeveloped,no,"TERSPI12, 13 on same leaf"
XOR,TIRTERSPI13,N,10-Jul-17,TIR,RT2,TERSPI,40.5,1,2,22,130,over water,under,3,192.709,1798-1799,1,0.0086,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,,healthy,no,"TERSPI12, 13 on same leaf"
XOR,TIRTERSPI14,N,10-Jul-17,TIR,RT3,TERSPI,9,1,1,23,65,over land,under,0,23.643,1802,0,,Pteridophyta,,glabrous,,,,no,,healthy,no,
XOR,TIRESPPRO11,N,10-Jul-17,TIR,RT3,ESPPRO,17,2,1,26,350,over water,top,0,356.769,"1803, 1806",0,,Araceae,,glabrous,2,slow,sand,no,adult nearby,,yes,Adult near
XOR,TIRTERSPI15,N,10-Jul-17,TIR,RT3,TERSPI,28,1,1,25,100,over land,top,8.4,201.402,1807-1808,1,3,Pteridophyta,,glabrous,,,,,calling male nearby,healthy,no,male calling nearby
